lr,bs,acc
2e-05,16,0.9149291075896581
2e-05,32,0.9220183486238532
3e-05,16,0.9153461217681401
3e-05,32,0.9136780650542119
5e-05,16,0.9111759799833195
5e-05,32,0.914512093411176
